    Angle	RCS(dBm^2)
 -180.0000	   32.6326
 -179.0000	   32.4711
 -178.0000	   32.0643
 -177.0000	   31.4035
 -176.0000	   30.4726
 -175.0000	   29.2457
 -174.0000	   27.6826
 -173.0000	   25.7197
 -172.0000	   23.2528
 -171.0000	   20.0982
 -170.0000	   15.9020
 -169.0000	   10.0295
 -168.0000	    4.8742
 -167.0000	    8.2454
 -166.0000	   11.0348
 -165.0000	   12.1760
 -164.0000	   12.2122
 -163.0000	   11.3828
 -162.0000	    9.7457
 -161.0000	    7.2453
 -160.0000	    3.8250
 -159.0000	    0.3126
 -158.0000	    0.0350
 -157.0000	    2.1128
 -156.0000	    3.6784
 -155.0000	    4.3430
 -154.0000	    4.2133
 -153.0000	    3.3687
 -152.0000	    1.8274
 -151.0000	   -0.4088
 -150.0000	   -3.1326
 -149.0000	   -5.1607
 -148.0000	   -4.8185
 -147.0000	   -3.2712
 -146.0000	   -2.0253
 -145.0000	   -1.4144
 -144.0000	   -1.4301
 -143.0000	   -2.0414
 -142.0000	   -3.2512
 -141.0000	   -5.0981
 -140.0000	   -7.5909
 -139.0000	  -10.2973
 -138.0000	  -11.3350
 -137.0000	   -9.7915
 -136.0000	   -7.7583
 -135.0000	   -6.2293
 -134.0000	   -5.2767
 -133.0000	   -4.8255
 -132.0000	   -4.8128
 -131.0000	   -5.2073
 -130.0000	   -6.0114
 -129.0000	   -7.2677
 -128.0000	   -9.0794
 -127.0000	  -11.6626
 -126.0000	  -15.4495
 -125.0000	  -20.5618
 -124.0000	  -19.8710
 -123.0000	  -14.9703
 -122.0000	  -11.5317
 -121.0000	   -9.1623
 -120.0000	   -7.4500
 -119.0000	   -6.1774
 -118.0000	   -5.2227
 -117.0000	   -4.5119
 -116.0000	   -3.9974
 -115.0000	   -3.6467
 -114.0000	   -3.4371
 -113.0000	   -3.3526
 -112.0000	   -3.3815
 -111.0000	   -3.5158
 -110.0000	   -3.7500
 -109.0000	   -4.0813
 -108.0000	   -4.5090
 -107.0000	   -5.0345
 -106.0000	   -5.6619
 -105.0000	   -6.3975
 -104.0000	   -7.2506
 -103.0000	   -8.2327
 -102.0000	   -9.3564
 -101.0000	  -10.6285
 -100.0000	  -12.0335
  -99.0000	  -13.4852
  -98.0000	  -14.7323
  -97.0000	  -15.3122
  -96.0000	  -14.8774
  -95.0000	  -13.6451
  -94.0000	  -12.0979
  -93.0000	  -10.5450
  -92.0000	   -9.1032
  -91.0000	   -7.7983
  -90.0000	   -6.6245
  -89.0000	   -5.5674
  -88.0000	   -4.6125
  -87.0000	   -3.7474
  -86.0000	   -2.9621
  -85.0000	   -2.2490
  -84.0000	   -1.6027
  -83.0000	   -1.0195
  -82.0000	   -0.4972
  -81.0000	   -0.0349
  -80.0000	    0.3671
  -79.0000	    0.7072
  -78.0000	    0.9830
  -77.0000	    1.1907
  -76.0000	    1.3256
  -75.0000	    1.3817
  -74.0000	    1.3515
  -73.0000	    1.2263
  -72.0000	    0.9956
  -71.0000	    0.6477
  -70.0000	    0.1702
  -69.0000	   -0.4479
  -68.0000	   -1.2098
  -67.0000	   -2.0970
  -66.0000	   -3.0370
