    Angle	RCS(dBm^2)
  -65.0000	   -3.8526
  -64.0000	   -4.2446
  -63.0000	   -3.9557
  -62.0000	   -3.0391
  -61.0000	   -1.8022
  -60.0000	   -0.5274
  -59.0000	    0.6312
  -58.0000	    1.6098
  -57.0000	    2.3877
  -56.0000	    2.9616
  -55.0000	    3.3348
  -54.0000	    3.5153
  -53.0000	    3.5175
  -52.0000	    3.3695
  -51.0000	    3.1250
  -50.0000	    2.8766
  -49.0000	    2.7575
  -48.0000	    2.9016
  -47.0000	    3.3638
  -46.0000	    4.0766
  -45.0000	    4.8997
  -44.0000	    5.6988
  -43.0000	    6.3832
  -42.0000	    6.9048
  -41.0000	    7.2478
  -40.0000	    7.4222
  -39.0000	    7.4651
  -38.0000	    7.4463
  -37.0000	    7.4677
  -36.0000	    7.6407
  -35.0000	    8.0340
  -34.0000	    8.6301
  -33.0000	    9.3388
  -32.0000	   10.0521
  -31.0000	   10.6882
  -30.0000	   11.2050
  -29.0000	   11.5978
  -28.0000	   11.8951
  -27.0000	   12.1529
  -26.0000	   12.4433
  -25.0000	   12.8306
  -24.0000	   13.3422
  -23.0000	   13.9556
  -22.0000	   14.6143
  -21.0000	   15.2569
  -20.0000	   15.8409
  -19.0000	   16.3508
  -18.0000	   16.7988
  -17.0000	   17.2179
  -16.0000	   17.6514
  -15.0000	   18.1361
  -14.0000	   18.6862
  -13.0000	   19.2869
  -12.0000	   19.9015
  -11.0000	   20.4878
  -10.0000	   21.0112
   -9.0000	   21.4517
   -8.0000	   21.8060
   -7.0000	   22.0857
   -6.0000	   22.3139
   -5.0000	   22.5192
   -4.0000	   22.7275
   -3.0000	   22.9537
   -2.0000	   23.1964
   -1.0000	   23.4391
    0.0000	   23.6565
    1.0000	   23.8229
    2.0000	   23.9181
    3.0000	   23.9310
    4.0000	   23.8609
    5.0000	   23.7161
    6.0000	   23.5118
    7.0000	   23.2661
    8.0000	   22.9948
    9.0000	   22.7062
   10.0000	   22.3977
   11.0000	   22.0556
   12.0000	   21.6590
   13.0000	   21.1850
   14.0000	   20.6145
   15.0000	   19.9370
   16.0000	   19.1549
   17.0000	   18.2883
   18.0000	   17.3771
   19.0000	   16.4795
   20.0000	   15.6576
   21.0000	   14.9519
   22.0000	   14.3579
   23.0000	   13.8241
   24.0000	   13.2752
   25.0000	   12.6375
   26.0000	   11.8555
   27.0000	   10.8981
   28.0000	    9.7653
   29.0000	    8.5006
   30.0000	    7.2115
   31.0000	    6.0748
   32.0000	    5.2718
   33.0000	    4.8528
   34.0000	    4.6855
   35.0000	    4.5636
   36.0000	    4.3214
   37.0000	    3.8591
   38.0000	    3.1245
   39.0000	    2.0943
   40.0000	    0.7738
   41.0000	   -0.7758
   42.0000	   -2.3658
   43.0000	   -3.6062
   44.0000	   -4.0802
   45.0000	   -3.8119
   46.0000	   -3.2304
   47.0000	   -2.7035
   48.0000	   -2.4015
   49.0000	   -2.3804
   50.0000	   -2.6530
   51.0000	   -3.2221
   52.0000	   -4.0931
   53.0000	   -5.2792
   54.0000	   -6.8014
   55.0000	   -8.6785
   56.0000	  -10.8778
   57.0000	  -13.1379
   58.0000	  -14.6374
   59.0000	  -14.5054
   60.0000	  -13.2725
   61.0000	  -11.8986
   62.0000	  -10.7619
   63.0000	   -9.9162
   64.0000	   -9.3295
   65.0000	   -8.9570
   66.0000	   -8.7572
   67.0000	   -8.6952
   68.0000	   -8.7410
   69.0000	   -8.8688
   70.0000	   -9.0562
   71.0000	   -9.2837
   72.0000	   -9.5348
   73.0000	   -9.7961
   74.0000	  -10.0575
   75.0000	  -10.3119
   76.0000	  -10.5549
   77.0000	  -10.7838
   78.0000	  -10.9969
   79.0000	  -11.1922
   80.0000	  -11.3666
   81.0000	  -11.5151
   82.0000	  -11.6303
   83.0000	  -11.7029
   84.0000	  -11.7224
   85.0000	  -11.6781
   86.0000	  -11.5615
   87.0000	  -11.3674
   88.0000	  -11.0959
   89.0000	  -10.7523
   90.0000	  -10.3463
   91.0000	   -9.8905
   92.0000	   -9.3990
   93.0000	   -8.8852
   94.0000	   -8.3614
   95.0000	   -7.8384
   96.0000	   -7.3245
   97.0000	   -6.8268
   98.0000	   -6.3505
   99.0000	   -5.8994
  100.0000	   -5.4766
  101.0000	   -5.0839
  102.0000	   -4.7225
  103.0000	   -4.3927
  104.0000	   -4.0944
  105.0000	   -3.8267
  106.0000	   -3.5883
  107.0000	   -3.3772
  108.0000	   -3.1911
  109.0000	   -3.0277
  110.0000	   -2.8845
  111.0000	   -2.7598
  112.0000	   -2.6525
  113.0000	   -2.5628
  114.0000	   -2.4921
  115.0000	   -2.4430
  116.0000	   -2.4187
  117.0000	   -2.4220
  118.0000	   -2.4533
  119.0000	   -2.5084
  120.0000	   -2.5753
  121.0000	   -2.6317
  122.0000	   -2.6435
  123.0000	   -2.5697
  124.0000	   -2.3728
  125.0000	   -2.0359
  126.0000	   -1.5741
  127.0000	   -1.0332
  128.0000	   -0.4751
  129.0000	    0.0367
  130.0000	    0.4474
  131.0000	    0.7138
  132.0000	    0.8043
  133.0000	    0.7017
  134.0000	    0.4112
  135.0000	   -0.0176
  136.0000	   -0.4536
  137.0000	   -0.6620
  138.0000	   -0.3981
  139.0000	    0.3724
  140.0000	    1.4226
  141.0000	    2.4701
  142.0000	    3.3208
  143.0000	    3.8677
  144.0000	    4.0509
  145.0000	    3.8336
  146.0000	    3.2091
  147.0000	    2.2748
  148.0000	    1.4361
  149.0000	    1.5089
  150.0000	    2.8197
  151.0000	    4.6332
  152.0000	    6.2540
  153.0000	    7.4109
  154.0000	    8.0184
  155.0000	    8.0245
  156.0000	    7.3635
  157.0000	    5.9976
  158.0000	    4.3074
  159.0000	    4.1859
  160.0000	    6.6955
  161.0000	    9.6365
  162.0000	   11.9250
  163.0000	   13.4464
  164.0000	   14.2103
  165.0000	   14.1577
  166.0000	   13.0833
  167.0000	   10.5324
  168.0000	    6.9516
  169.0000	   10.5837
  170.0000	   16.4305
  171.0000	   20.6601
  172.0000	   23.8023
  173.0000	   26.2287
  174.0000	   28.1351
  175.0000	   29.6321
  176.0000	   30.7869
  177.0000	   31.6419
  178.0000	   32.2244
  179.0000	   32.5514
  180.0000	   32.6326
