    Angle	RCS(dBm^2)
   70.0000	   13.0245
   71.0000	   12.9245
   72.0000	   12.8267
   73.0000	   12.7310
   74.0000	   12.6376
   75.0000	   12.5465
   76.0000	   12.4578
   77.0000	   12.3716
   78.0000	   12.2880
   79.0000	   12.2072
   80.0000	   12.1291
   81.0000	   12.0541
   82.0000	   11.9822
   83.0000	   11.9135
   84.0000	   11.8482
   85.0000	   11.7865
   86.0000	   11.7285
   87.0000	   11.6744
   88.0000	   11.6242
   89.0000	   11.5781
   90.0000	   11.5363
   91.0000	   11.4988
   92.0000	   11.4656
   93.0000	   11.4369
   94.0000	   11.4124
   95.0000	   11.3922
   96.0000	   11.3761
   97.0000	   11.3637
   98.0000	   11.3548
   99.0000	   11.3490
  100.0000	   11.3455
  101.0000	   11.3438
  102.0000	   11.3430
  103.0000	   11.3423
  104.0000	   11.3405
  105.0000	   11.3366
  106.0000	   11.3292
  107.0000	   11.3170
  108.0000	   11.2985
  109.0000	   11.2721
  110.0000	   11.2365
  111.0000	   11.1899
  112.0000	   11.1308
  113.0000	   11.0579
  114.0000	   10.9698
  115.0000	   10.8656
  116.0000	   10.7448
  117.0000	   10.6073
  118.0000	   10.4541
  119.0000	   10.2871
  120.0000	   10.1100
  121.0000	    9.9280
  122.0000	    9.7490
  123.0000	    9.5833
  124.0000	    9.4441
  125.0000	    9.3461
  126.0000	    9.3052
  127.0000	    9.3354
  128.0000	    9.4464
  129.0000	    9.6412
  130.0000	    9.9153
  131.0000	   10.2570
  132.0000	   10.6494
  133.0000	   11.0734
  134.0000	   11.5098
  135.0000	   11.9408
  136.0000	   12.3513
  137.0000	   12.7281
  138.0000	   13.0602
  139.0000	   13.3385
  140.0000	   13.5548
  141.0000	   13.7017
  142.0000	   13.7729
  143.0000	   13.7622
  144.0000	   13.6653
  145.0000	   13.4804
  146.0000	   13.2115
  147.0000	   12.8748
  148.0000	   12.5092
  149.0000	   12.1917
  150.0000	   12.0476
  151.0000	   12.2284
  152.0000	   12.8360
  153.0000	   13.8466
  154.0000	   15.1304
  155.0000	   16.5395
  156.0000	   17.9656
  157.0000	   19.3472
  158.0000	   20.6551
  159.0000	   21.8780
  160.0000	   23.0144
  161.0000	   24.0668
  162.0000	   25.0392
  163.0000	   25.9363
  164.0000	   26.7628
  165.0000	   27.5228
  166.0000	   28.2201
  167.0000	   28.8580
  168.0000	   29.4393
  169.0000	   29.9666
  170.0000	   30.4419
  171.0000	   30.8672
  172.0000	   31.2439
  173.0000	   31.5736
  174.0000	   31.8571
  175.0000	   32.0956
  176.0000	   32.2897
  177.0000	   32.4400
  178.0000	   32.5471
  179.0000	   32.6113
  180.0000	   32.6326
